cc,banco,documento,pct,minimo_por_operacion,cuota_mensual,segun_acuerdo(s/n),fuente_url,cita,fecha
ES,CaixaBank,MyCommerce+ TPV Android Mini,"0.90% above €10,000.01 monthly turnover",€0.05,€55 base in >€10k band,n,https://www.caixabank.es/empresa/negocios/tpv-mini.html,"55 € + 0,90 % (mínimo 0,05 € por operación)",2026-08-20
ES,Santander/Getnet,TPV,según oficina,,,s,https://www.bancosantander.es/empresas/cobros-pagos/cobros/tpv,Consulta tarifas en tu oficina,2026-08-20
IT,Intesa/Nexi,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
IT,BPER,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
PT,Millennium bcp,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
PT,CGD,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
GB,Worldpay,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
GB,Barclaycard Payments,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
GR,Alpha Bank,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
GR,NBG,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
HR,Zagrebačka banka,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
HR,PBZ,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
DE,Sparkasse/Payone,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
DE,Commerzbank,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
PL,PKO BP,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
PL,Pekao,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
CZ,ČSOB,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
CZ,Komerční banka,NO_ENCONTRADO,,,,,,No primary numeric tariff safely recovered,2026-08-20
