cc,dato,valor,unidad,segmento,año,fuente_url,cita,confianza
ES,tasa_descuento_minorista_debito,0.4525,%,Comercio minorista; no segmentado por tamaño,2025-Q4,https://www.bde.es/app/sif/documentosTasas/3105_Descuento_202512.pdf,"Comercio minorista ... 0,4525",ALTA_AGREGADO_NO_BASELINE
ES,tasa_descuento_minorista_credito,0.4053,%,Comercio minorista; no segmentado por tamaño,2025-Q4,https://www.bde.es/app/sif/documentosTasas/3105_Descuento_202512.pdf,"Comercio minorista ... 0,4053",ALTA_AGREGADO_NO_BASELINE
IT,merchant_fee,NO_ENCONTRADO_SEGMENTO,,Comercio pequeño independiente,2017,https://www.bancaditalia.it/pubblicazioni/qef/2018-0434/index.html,merchant fee ... considerevole calo,MEDIA_HISTORICA_AGREGADA
PT,merchant_fee,NO_ENCONTRADO_SEGMENTO,,Comercio pequeño independiente,,,,ABIERTA
GR,merchant_fee,NO_ENCONTRADO_SEGMENTO,,Comercio pequeño independiente,,https://www.bankofgreece.gr/Publications/museum-catalogue-e-payments-en.pdf,merchant collects €99.44,NO_APTA_BASELINE
HR,merchant_fee,NO_ENCONTRADO_SEGMENTO,,Comercio pequeño independiente,,,,ABIERTA
PL,merchant_fee,NO_ENCONTRADO_SEGMENTO,,Comercio pequeño independiente,,,,ABIERTA
CZ,merchant_fee,NO_ENCONTRADO_SEGMENTO,,Comercio pequeño independiente,,https://www.cnb.cz/en/cnb-news/press-releases/CNB-instant-payments-save-businesses-time-and-money-yet-only-one-in-five-currently-use-QR-codes-at-the-point-of-sale,reduces card fees,ABIERTA
CY,merchant_fee,NO_ENCONTRADO_SEGMENTO,,Comercio pequeño independiente,,https://www.centralbank.cy/en/financial-market-infrastructures-payments/interchange-fee-regulation,retailers ... level of fees,ABIERTA
CZ,foreign_card_transactions_at_resident_devices,210.2,million transactions,Tarjetas no residentes en dispositivos residentes,2025,https://www.cnb.cz/en/statistics/money_and_banking_stat/harm_stat_data/commentary-on-payment-statistics/,210.2 million in 2025,ALTA
ES,tasa_descuento_comercio_minorista_tarjeta_consumidor_debito,0.3154,pct_valor,"Comercio minorista; tarjetas de consumidor; débito; agregado por actividad, sin eje de tamaño",2026-Q1,https://www.bde.es/app/sif/documentosTasas/0000_Descuento_202603.pdf,"Comercio minorista ... 255.703.609 [importe]; 7.439.631 [operaciones]; ... 0,3154 [tasa media ponderada %]","ALTA_FUENTE_BAJA_AJUSTE_PEQUENO | estado=AGREGADO_NO_SIZE | limitacion=La actividad está identificada, pero la tabla no separa comercios por tamaño; no debe tratarse como línea base del independiente."
ES,tasa_descuento_comercio_minorista_tarjeta_consumidor_credito,0.3338,pct_valor,"Comercio minorista; tarjetas de consumidor; crédito; agregado por actividad, sin eje de tamaño",2026-Q1,https://www.bde.es/app/sif/documentosTasas/0000_Descuento_202603.pdf,"Comercio minorista ... 116.994.170 [importe]; 4.568.593 [operaciones]; ... 0,3338 [tasa media ponderada %]","ALTA_FUENTE_BAJA_AJUSTE_PEQUENO | estado=AGREGADO_NO_SIZE | limitacion=La actividad está identificada, pero la tabla no separa comercios por tamaño; no debe tratarse como línea base del independiente."
ES,tasa_descuento_comercio_minorista_tarjeta_empresa_debito,0.5665,pct_valor,"Comercio minorista; tarjetas de empresa; débito; agregado por actividad, sin eje de tamaño",2026-Q1,https://www.bde.es/app/sif/documentosTasas/0000_Descuento_202603.pdf,"Comercio minorista ... 0,5665 [tasa media ponderada % de tarjetas de empresa, débito]","ALTA_FUENTE_BAJA_AJUSTE_PEQUENO | estado=AGREGADO_NO_SIZE | limitacion=No hay eje de tamaño; además, la mezcla de tarjetas de empresa no equivale al coste medio total del comercio."
ES,tasa_descuento_comercio_minorista_tarjeta_empresa_credito,0.5834,pct_valor,"Comercio minorista; tarjetas de empresa; crédito; agregado por actividad, sin eje de tamaño",2026-Q1,https://www.bde.es/app/sif/documentosTasas/0000_Descuento_202603.pdf,"Comercio minorista ... 0,5834 [tasa media ponderada % de tarjetas de empresa, crédito]","ALTA_FUENTE_BAJA_AJUSTE_PEQUENO | estado=AGREGADO_NO_SIZE | limitacion=No hay eje de tamaño; además, la mezcla de tarjetas de empresa no equivale al coste medio total del comercio."
IT,coste_privado_aceptacion_tarjeta,0.57,pct_valor,"Comerciantes; débito, crédito y prepago; agregado nacional",2022,https://www.bancaditalia.it/compiti/sispaga-mercati/comitato-pagamenti-italia/CPI-Costo-sociale-strumenti-pagamento-Italia.pdf,"Con riferimento alle carte, il costo unitario ... 0,28 euro per operazione (0,57% del valore)","ALTA_FUENTE_MEDIA_AJUSTE | estado=AGREGADO_NO_SIZE | limitacion=Coste privado total del comerciante, que incluye recursos internos y comisiones externas; no es una tasa bancaria pura ni una cifra exclusiva de pequeños."
IT,coste_privado_aceptacion_tarjeta_por_operacion,0.28,EUR_por_operacion,"Comerciantes; débito, crédito y prepago; agregado nacional",2022,https://www.bancaditalia.it/compiti/sispaga-mercati/comitato-pagamenti-italia/CPI-Costo-sociale-strumenti-pagamento-Italia.pdf,"Con riferimento alle carte, il costo unitario ... 0,28 euro per operazione (0,57% del valore)",ALTA_FUENTE_MEDIA_AJUSTE | estado=AGREGADO_NO_SIZE | limitacion=Mismo coste privado total; ticket medio implícito/publicado de 49 EUR.
IT,prima_coste_unitario_microempresa_vs_media,3.8,pct_relativo_sobre_media,Empresas con menos de 10 empleados frente a media del sistema,2022,https://www.bancaditalia.it/compiti/sispaga-mercati/comitato-pagamenti-italia/CPI-Costo-sociale-strumenti-pagamento-Italia.pdf,"le imprese con meno di 10 addetti sopportano costi privati unitari più elevati di circa il 3,8% rispetto al dato medio di sistema","ALTA | estado=SEGMENTO_SIZE_RELATIVO | limitacion=Es 3,8% relativo, no 3,8 puntos porcentuales; el informe no publica el nivel absoluto exacto del estrato."
PT,coste_privado_comerciante_tarjeta_debito,0.28,EUR_por_operacion,"Comerciantes; débito; agregado nacional, muestra diseñada por sector y volumen de negocio",2022,https://www.bportugal.pt/sites/default/files/documents/2024-05/estudo_custos_sociais_instrumentos_pagamento_maio2024.pdf,para os comerciantes ... 28 cêntimos por cada pagamento efetuado com cartão de débito,"ALTA_FUENTE_MEDIA_AJUSTE | estado=AGREGADO_ESTRATIFICADO_NO_SIZE_PUBLICADO | limitacion=El diseño incluyó pequeños, medianos y grandes, pero el resultado publicado consolida los estratos; 125 respuestas válidas."
PT,coste_privado_comerciante_tarjeta_credito,0.55,EUR_por_operacion,"Comerciantes; crédito; agregado nacional, muestra diseñada por sector y volumen de negocio",2022,https://www.bportugal.pt/sites/default/files/documents/2024-05/estudo_custos_sociais_instrumentos_pagamento_maio2024.pdf,cartões de crédito ... 55 cêntimos por pagamento para os comerciantes,"ALTA_FUENTE_MEDIA_AJUSTE | estado=AGREGADO_ESTRATIFICADO_NO_SIZE_PUBLICADO | limitacion=El diseño incluyó pequeños, medianos y grandes, pero el resultado publicado consolida los estratos."
PT,peso_comisiones_adquirente_terminal_en_coste_debito,44.0,pct_coste_privado,Comerciantes; débito; agregado nacional,2022,https://www.bportugal.pt/sites/default/files/documents/2024-05/estudo_custos_sociais_instrumentos_pagamento_maio2024.pdf,"As comissões ... representaram 44,0% ... [dos custos dos] cartões de débito",ALTA | estado=DESCOMPOSICION_AGREGADA | limitacion=No convierte el coste por operación en una tasa de descuento por tamaño.
PT,peso_comisiones_adquirente_terminal_en_coste_credito,71.3,pct_coste_privado,Comerciantes; crédito; agregado nacional,2022,https://www.bportugal.pt/sites/default/files/documents/2024-05/estudo_custos_sociais_instrumentos_pagamento_maio2024.pdf,"As comissões ... representaram ... 71,3% ... [dos custos dos cartões de] crédito",ALTA | estado=DESCOMPOSICION_AGREGADA | limitacion=No convierte el coste por operación en una tasa de descuento por tamaño.
GR,linea_base_coste_actual_pequeno_comercio,NO_ENCONTRADO,,Pequeño comercio independiente,2026-08-20,https://minfin.gov.gr/meiosi-50-ton-promitheion-sta-pos-gia-synallages-eos-10-evro-miniaia-analogiki-katavoli-telon-kykloforias-kai-dynatotita-arsis-akinisias-ochimaton-gia-to-2024/,"La fuente oficial hallada fija para determinados pequeños comercios y operaciones domésticas de hasta 10 EUR una comisión máxima del adquirente de 0,50%; no publica el coste medio observado.","MEDIA | estado=NO_ENCONTRADO | limitacion=Se localizó un tope regulatorio, ampliado después a operaciones de hasta 20 EUR, pero un máximo legal no es una línea base real."
