cc,provider,plan,channel,card_class,rate_bps,fixed_minor,monthly_fee_minor,fee_currency,small_ticket_threshold_minor,small_ticket_monthly_cap_minor,published_breakeven_minor,verified_url,verified_quote,verified_at,confidence,scheme,funding,issuer_region,tier,_traducida,rate_is_blended,online_surface,_ronda,_origen,monthly_minimum_fee_minor,currency,volume_band_min,volume_band_max,pricing_band_basis,txn_count_band_min,txn_count_band_max,source_type,seed_status,note,eligible_mix_prior,source_round,provenance,product,standard_monthly_fee_minor,promo_free_months,installation_fee_minor,deinstallation_fee_minor,comparison_eligible,valid_until
DE,SumUp,payg,in_store,,139,,,,,,,sumup.com/de-de/zahlungen-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.9048,R1+R2+R3,primary_verified,,,,,,,
DE,SumUp,plus,in_store,,79,,1900,,1000,,350000,sumup.com/de-de/zahlungen-plus/,,2026-08-19,,any,any,eea,standard,,false,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.9048,R1+R2+R3,primary_verified,,,,,,,
DE,SumUp,plus,in_store,,139,,1900,,1000,,,sumup.com/de-de/zahlungen-plus/,,2026-08-19,,any,any,non_eea,premium,,false,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.9048,R1+R2+R3,primary_verified,,,,,,,
DE,SumUp,any,online,,250,,,,,,,sumup.com/de-de/zahlungen-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.9048,R1+R2+R3,primary_verified,,,,,,,
ES,SumUp,payg,in_store,,149,,,,,,,sumup.com/es-es/pagos-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8024,R1+R2+R3,primary_verified,,,,,,,
ES,SumUp,plus,in_store,,75,,1900,,,,320000,sumup.com/es-es/pagos-plus/,,2026-08-19,,any,any,eea,standard,,false,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8024,R1+R2+R3,primary_verified,,,,,,,
ES,SumUp,plus,in_store,,149,,1900,,,,,sumup.com/es-es/pagos-plus/,,2026-08-19,,any,any,non_eea,premium,,false,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8024,R1+R2+R3,primary_verified,,,,,,,
ES,SumUp,any,online,,195,,,,,,,sumup.com/es-es/pagos-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8024,R1+R2+R3,primary_verified,,,,,,,
PT,SumUp,payg,in_store,,150,,,,,,,sumup.com/pt-pt/pagamentos-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.6496,R1+R2+R3,primary_verified,,,,,,,
PT,SumUp,plus,in_store,,75,,1900,,,,390000,sumup.com/pt-pt/pagamentos-plus/,,2026-08-19,,any,any,eea,standard,,false,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.6496,R1+R2+R3,primary_verified,,,,,,,
PT,SumUp,plus,in_store,,150,,1900,,,,,sumup.com/pt-pt/pagamentos-plus/,,2026-08-19,,any,any,non_eea,premium,,false,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.6496,R1+R2+R3,primary_verified,,,,,,,
PT,SumUp,any,online,,275,,,,,,,sumup.com/pt-pt/pagamentos-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.6496,R1+R2+R3,primary_verified,,,,,,,
GB,SumUp,payg,in_store,,169,,,,,,,sumup.com/en-gb/payments-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,GBP,,,,,,published,SEEDABLE,,0.9048,R1+R2+R3,primary_verified,,,,,,,
GB,SumUp,plus,in_store,,99,,1900,,1000,,300000,sumup.com/en-gb/payments-plus/,,2026-08-19,,any,any,eea,standard,,false,any,R3,seed_rates_v5.csv,,GBP,,,,,,published,SEEDABLE,,0.9048,R1+R2+R3,primary_verified,,,,,,,
GB,SumUp,plus,in_store,,169,,1900,,1000,,,sumup.com/en-gb/payments-plus/,,2026-08-19,,any,any,non_eea,premium,,false,any,R3,seed_rates_v5.csv,,GBP,,,,,,published,SEEDABLE,,0.9048,R1+R2+R3,primary_verified,,,,,,,
GB,SumUp,any,online,,250,,,,,,,sumup.com/en-gb/payments-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,GBP,,,,,,published,SEEDABLE,,0.9048,R1+R2+R3,primary_verified,,,,,,,
FR,SumUp,payg,in_store,,175,,,,,,,sumup.com/fr-fr/paiements-plus/,,2026-08-19,,any,any,any,any,,true,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8497,R1+R2+R3,primary_verified,,,,,,,
FR,SumUp,plus,in_store,,89,,1900,,1000,,260000,sumup.com/fr-fr/paiements-plus/,,2026-08-19,,any,any,eea,standard,,false,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8497,R1+R2+R3,primary_verified,,,,,,,
FR,SumUp,plus,in_store,,175,,1900,,1000,,,sumup.com/fr-fr/paiements-plus/,,2026-08-19,,any,any,non_eea,premium,,false,any,R3,seed_rates_v5.csv,,EUR,,,,,,published,SEEDABLE,,0.8497,R1+R2+R3,primary_verified,,,,,,,
