provider,cc,layer,intl_surcharge_bps,fx_fee_bps,who_pays,can_be_avoided,double_count_risk,confidence,verified_at,note,verified_url
Stripe,all,fx_conversion,,200,merchant,yes,no,VERIFIED_MARKET_PATTERN,2026-08-20,2% uniforme. Tiers intl ya en clases de la tabla base.,https://stripe.com/en-at/pricing
PayPal,ES,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/es/business/paypal-business-fees
PayPal,IT,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/it/business/paypal-business-fees
PayPal,PT,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/pt/business/paypal-business-fees
PayPal,GR,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/gr/business/paypal-business-fees
PayPal,DE,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/de/business/paypal-business-fees
PayPal,PL,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/pl/business/paypal-business-fees
PayPal,CY,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/cy/business/paypal-business-fees
PayPal,GB,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/uk/business/paypal-business-fees
PayPal,IE,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/ie/business/paypal-business-fees
PayPal,SE,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/se/business/paypal-business-fees
PayPal,NO,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/no/business/paypal-business-fees
PayPal,CH,intl+fx,0/129/199,300,merchant,partial,no,VERIFIED_DIRECT,2026-08-20,"Cita en idioma local del pais. 0 EEE / +1,29 UK / +1,99 resto. Internacional = mercado de cuentas PayPal, no pais de tarjeta.",https://www.paypal.com/ch/business/paypal-business-fees
PayPal,HR,own_schedule,N/A,300,merchant,,no,VERIFIED_DIRECT,2026-08-20,"Croacia usa tarifario TOTAL propio: 3,40% EEE / 4,69% UK / 5,39% resto. Sembrado como filas base, no como recargo.",https://www.paypal.com/hr/business/paypal-business-fees
PayPal,CZ,intl_surcharge,BLOQUEADO,300,merchant,,no,BLOQUEADO_CONFLICTO_FUENTE,2026-08-20,"La tabla checa de PayPal etiqueta ""ČR: 1,29%"" donde deberia decir Reino Unido. Probable errata de la propia pagina. FX 3% si verificado. Cerrar con factura o soporte PayPal.",https://www.paypal.com/cz/business/paypal-business-fees
SumUp,all,fx_conversion,,N/A_BY_DESIGN,n/a,,no,VERIFIED_DIRECT,2026-08-20,Docs de desarrollador: la divisa del cobro DEBE coincidir con la de la cuenta del comercio. SumUp no hace FX al comercio: la capa no existe estructuralmente.,https://www.sumup.com/en-gb/pricing/
myPOS,all,fx_conversion,,EXISTE_SIN_CIFRA,merchant,,no,EXISTENCE_ONLY,2026-08-20,"Doc legal GB: si procesamiento y liquidacion difieren, aplican su tipo con comision incluida. Magnitud no publicada.",https://www.mypos.com/es-es/pagos-online
Square,GB,intl_surcharge,150,,merchant,,SI,VERIFIED_DIRECT,2026-08-20,"Ya en clases non_eea de la tabla. No sumar. | Cita primaria 22-08: +1,5% intl ""in addition to base"". Bonus: Square GB sin comision de disputa (PayPal 14 GBP, SumUp 10 GBP — capa disputa del modelo).",squareup.com/gb/en/legal/general/fees
Square,IE,intl_surcharge,150,,merchant,,SI,VERIFIED_DIRECT,2026-08-20,Ya en clases non_eea de la tabla. No sumar.,https://squareup.com/help/ie/en/article/5068-what-are-square-s-fees
myPOS,ES,intl_surcharge,160,,merchant,,SI,VERIFIED_DIRECT,2026-08-20,Ya en clases non_eea de la tabla. No sumar.,https://www.mypos.com/es-es/pagos-online
PeP,PL,intl_surcharge,100,,merchant,,no,VERIFIED_DIRECT,2026-08-20,+1% internacional.,https://pep.pl/online/en/cennik/
UniCredit,IT,both,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,,,NO_ENCONTRADO,2026-08-20,Foglio remite a condiciones; DCC remite a acuerdo. Por factura.,https://www.unicredit.it/it/altrilink/nuovifogliinformativi.html?doc=GP70&sez=%2Ftrasparenza%2Ftrasparenzaprivati%2Fcarteposeservizidipagamento
